5.522763400769999942e-01 2.811798900628882159e+00
5.546795878360000209e-01 2.739837000952198842e+00
5.570827257239999719e-01 2.742089011974136348e+00
5.594857532729999861e-01 2.687480859343924777e+00
5.618886700149999802e-01 2.660801563335200015e+00
5.642914754819999823e-01 2.663277064556394791e+00
5.666941692069999981e-01 2.641127410390453623e+00
5.690967507230000333e-01 2.570040134345389138e+00
5.714992195610000270e-01 2.608125795800217528e+00
5.739015752549999627e-01 2.553273699771688499e+00
5.763038173369999795e-01 2.534963007341000996e+00
5.787059453409999499e-01 2.502463151405608599e+00
5.811079587990000128e-01 2.482276680900326493e+00
5.835098572450000409e-01 2.478862514816832174e+00
5.859116402120000400e-01 2.469299912272998387e+00
5.883133072339999936e-01 2.450679690978647685e+00
5.907148578440000186e-01 2.456292986026521241e+00
5.931162915769999655e-01 2.354373272152500363e+00
5.955176079649999732e-01 2.401273407028199802e+00
5.979188065430000032e-01 2.364015039765582582e+00
6.003198868450000392e-01 2.328789978506054847e+00
6.027208484060000426e-01 2.334486662466264129e+00
6.051216907599999972e-01 2.307779573242896287e+00
6.075224134409999976e-01 2.323529080101506494e+00
6.099230159840000054e-01 2.312477286379843733e+00
6.123234979249999599e-01 2.277298402156325174e+00
6.147238587969999779e-01 2.276588172392446374e+00
6.171240981359999989e-01 2.304155918751896071e+00
6.195242154779999622e-01 2.256917403972402258e+00
6.219242103569999625e-01 2.250782048243400002e+00
6.243240823100000281e-01 2.237812715857417700e+00
6.267238308710000316e-01 2.243438219454082727e+00
6.291234555770000014e-01 2.202603553989125107e+00
6.315229559639999879e-01 2.217229005758864613e+00
6.339223315680000415e-01 2.193899223283131139e+00
6.363215819240000126e-01 2.175620390359049861e+00
6.387207065690000407e-01 2.167470982707113691e+00
6.411197050410000209e-01 2.177683582310238730e+00
6.435185768750000257e-01 2.178372641020154710e+00
6.459173216079999724e-01 2.143575948261866593e+00
6.483159387770000004e-01 2.158921848738397209e+00
6.507144279190000269e-01 2.146752167458401139e+00
6.531127885719999471e-01 2.189983490191966364e+00
6.555110202720000334e-01 2.141306045281591519e+00
6.579091225580000479e-01 2.141118388587787802e+00
6.603070949660000410e-01 2.151770548944421435e+00
6.627049370359999747e-01 2.146139462454631275e+00
6.651026483030000325e-01 2.131832316959392681e+00
6.675002283080000431e-01 2.148536471153862593e+00
6.698976765880000350e-01 2.125555914721565909e+00
6.722949926810000143e-01 2.116677412733047881e+00
6.746921761259999650e-01 2.115743195873986071e+00
6.770892264610000044e-01 2.103494476627222554e+00
6.794861432259999834e-01 2.112542377203491473e+00
6.818829259590000191e-01 2.128223632620589889e+00
6.842795741999999626e-01 2.130711077213059745e+00
6.866760874870000420e-01 2.113968445987318923e+00
6.890724653609999750e-01 2.091331614195227395e+00
6.914687073599999900e-01 2.145438258431321188e+00
6.938648130250000268e-01 2.102444872354621186e+00
6.962607818960000472e-01 2.099105532147854891e+00
6.986566135109999465e-01 2.086233116479700112e+00
7.010523074129999532e-01 2.124050552249119761e+00
7.034478631410000515e-01 2.115053277685277067e+00
7.058432802349999813e-01 2.099729881449320157e+00
7.082385582360000154e-01 2.148723055172608198e+00
7.106336966849999826e-01 2.075059522083662955e+00
7.130286951230000447e-01 2.117467234160407497e+00
7.154235530910000307e-01 2.096796342811781066e+00
7.178182701309999691e-01 2.114060111439062251e+00
7.202128457830000441e-01 2.124134985543277843e+00
7.226072795900000401e-01 2.082874808792530175e+00
7.250015710930000079e-01 2.112759916516487202e+00
7.273957198339999763e-01 2.108035953789898720e+00
7.297897253549999741e-01 2.126037446149202648e+00
7.321835871990000078e-01 2.118796576643573459e+00
7.345773049079999950e-01 2.142413254108524789e+00
7.369708780239999646e-01 2.112518242625408771e+00
